"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS015911","TX0141100ALPR","Holland","Bell County","TX","Holland Police Department","Police","The Holland Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015912","TX2272100ALPR","Lago Vista","Travis County","TX","Lago Vista Police Department","Police","The Lago Vista Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015913","TX2120200ALPR","Lindale","Smith County","TX","Lindale Police Department","Police","The Lindale Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015914","TX0491000ALPR","Lindsay","Reeves County","TX","Lindsay Police Department","Police","The Lindsay Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015915","TX0900200ALPR","Pampa","Gray County","TX","Pampa Police Department","Police","The Pampa Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015916","OK0440200ALPR","Purcell","McClain County","OK","Purcell Police Department","Police","The Purcell Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015917","TX0080700ALPR","Wallis","Austin County","TX","Wallis Police Department","Police","The Wallis Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015918","TX0570200ALPR","Balch Springs","Dallas County","TX","Balch Springs Police Department","Police","The Balch Springs Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015919","TX2120000ALPR","Tyler","Smith County","TX","Smith County Sheriff's Office","Sheriff","The Smith County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015920","TX0740000ALPR","Bonham","Fannin County","TX","Fannin County Sheriff's Office","Sheriff","The Fannin County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025. The Texas Motor Vehicle Crime Prevention Authority gave the agency a grant to purchase automated license plate readers in 2022.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","",""
"AOS015921","XX0000112ALPR","Richardson","Dallas County","TX","Methodist Health System Police Department - Richardson Medical Center","Police","The Methodist Health System Police Department - Richardson Medical Center uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Health System","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015922","XX0000111ALPR","Southlake","Tarrant County","TX","Methodist Health System Police Department - Southlake Medical Center","Police","The Methodist Health System Police Department - Southlake Medical Center uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Health System","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015923","TX1260100ALPR","Alvarado","Johnson County","TX","Alvarado Police Department","Police","The Alvarado Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015924","TX1610100ALPR","Bay City","Matagorda County","TX","Bay City Police Department","Police","The Bay City Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015925","TX0570600ALPR","Cockrell Hill","Dallas County","TX","Cockrell Hill Police Department","Police","The Cockrell Hill Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015926","TX2460400ALPR","Hutto","Williamson County","TX","Hutto Police Department","Police","The Hutto Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015927","AR0300100ALPR","Malvern","Hot Spring County","AR","Malvern Police Department","Police","The Malvern Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015928","XX0000110ALPR","Sunnyvale","Dallas County","TX","Sunnyvale Police Department","Police","The Sunnyvale Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015929","KS0340100ALPR","Ulysses","Grant County","KS","Ulysses Police Department","Police","The Ulysses Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015930","TX0910500ALPR","Van Alstyne","Grayson County","TX","Van Alstyne Police Department","Police","The Van Alstyne Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015931","TX1161300ALPR","West Tawakoni","Hunt County","TX","West Tawakoni Police Department","Police","The West Tawakoni Police Department uses Flock Safety automated license plate readers, according to data obtained in July 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015932","TX1910000ALPR","Amarillo","Randall County","TX","Randall County Sheriff's Office","Sheriff","The Randall County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
"AOS015933","TX1030000ALPR","Channing","Hartley County","TX","Hartley County Sheriff's Office","Sheriff","The Hartley County Sheriff's Office uses Flock Safety automated license plate readers, according to data obtained in July 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/28534682-jcso-agency-sharing/","","Muckrock","","07/23/2025","","","","","","","","","","",""
